X,Y
-2720009,9836672
-2720009,9836672
-2213461,9787241
-2272545,9826019
-2305282,9803553
-2303444,9950481
-2228834,9942984
-2182048,9862907
-2152956,9922195
-2175218,9937875
-2201888,9897376
-2568001,10115385
-2552651,10042226
-2755925,9824610
-2787350,9765025
-2532999,9972692
-1431679,10549165
-1438710,10288047
-1479545,10221479
-1513298,10371230
-1542970,10339134
-1663996,10069589
-1791343,9949753
-1846651,9927164
-1806273,10065848
-1792304,10055603
-2548956,9805429
-2038579,9874164
-2151070,9757359
-2127687,9709090
-2128256,9674105
-1400706,10358526
-1398315,10362835
-1400706,10358526
-1399601,10364137
-1723724,9978506
-1723017,9976985
-1721887,9983326
-2533004,9973242
-2531762,9973252
-2531752,9972154
-2535434,9967721
-2532944,9967198
-2532999,9972692
-1492166,10337274
-1487899,10341244
-1484004,10343087
-1503924,10335941
