Abiskomyia,Arctopelopia...Thienemannimyia,Corynocera.oliveri.type,Chironominae.early.instar,Chironomus.anthracinus.type,Chironomus.plumosus.type,Chironomus.undifferentiated,Cladopelma,Cladotanytarsus.mancus,Corynocera.ambigua,Corynoneura.arctica,Corynoneura.edwardsii,Corynoneura.Type.A,Corynoneura.Thienemanniella.undif.,Cricotopus.laricomalis,Cricotopus.cylindraceus.type,Cricotopus.intersectus,Cricotopus.tremulus.group,Cricotopus.type.P,Cricotopus.undifferentiated,Diamesa..aberra,Dicrotendipes,Diplocladius,Eukiefferiella.claripennis.type,Eukiefferiella.fittkaui,Eukiefferiella.undiff.,Heterotrissocladius.grimshawii,Heterotrissocladius.maeaeri.type.1,Heterotrissocladius.maeaeri.type.2,Heterotrissocladius.marcidus,Heterotrissocladius.subpilosus,Heterotrissocladius.undiff,Hydrobaenus.confirmis,Hydrobaenus.johannseni,Hydrobaenus.unknown,Limnophyes...Paralimnophyes,Mesocricotopus,Metriocnemus,Micropsectra.contracta,Micropsectra.insignilobus.type,Micropsectra.pallidula.type,Micropsectra.radialis.type,Micropsectra.undifferentiated,Oliveridia,Orthocladius.consobrinus,Orthocladius.oliveri,Orthocladius.trigonolabis.type,Orthocladius.type.i,Orthocladius.type.S,Paracladius,Paracladopelma,Parakiefferiella.sp.B,Parakiefferiella.nigra,Parakiefferiella.triquetra,Paratanytarsus.austriacus.type,Paratanytarsus.penicillatus.type,Paratanytarsus.undiff,Procladius,Protanypus,Psectrocladius..Mono..calcaratus,Psectrocladius.barmimanus,Psectrocladius.meso.barbatipes,Psectrocladius.psilopterus.type,Psectrocladius.septentrionalis.type,Psectrocladius.sordidellus,Psectrocladius.allopsectrocladius,Psectrocladius.undiff.,Pseudodiamesa,Pseudodiamesa.early.instar,Pseudorthocladius,Pseudosmittia,Sergentia.coracina.type,Smittia...Parasmittia,Stictochironomus,Tanytarsus.lugens.type,Tanytarsus.lactescens.type,Tanytarsus.nr.glabrescens.type,Tanytarsus.pallidicornis.type,Tribelos.atrum.type,Tvetenia.bavarica.type,Zalut.sp..C,Zalutschia.lingulata.pauca,Zavrelimyia.type,Pentaneurini.undifferentiated
13.24786325,0,1.709401709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.709401709,0,0.427350427,0,0,0,3.846153846,0,0,2.991452991,13.24786325,3.846153846,0.854700855,4.273504274,8.547008547,0,0,0,0,3.846153846,0,0,7.692307692,0,0.854700855,0,0,0,0,0,0,1.282051282,2.991452991,0,0,4.273504274,0,0,0,0,0,0.854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.709401709,0.427350427,0,0,0
12.98076923,0,2.884615385,0,0,0,0,0,0,0,0,0.961538462,0,0,0,0,0,0,0,0,0.961538462,0,0,0.961538462,0,0,6.25,8.173076923,0.961538462,1.442307692,12.5,10.57692308,0,0,0,0,2.884615385,0,0,13.46153846,0,1.923076923,0,0,0,0,0,0,0,0,0,0,2.403846154,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.267828843,0.316957211,4.754358162,4.754358162,0.792393027,0,0,0,0,0,3.169572108,0,0,0,0,0,0,0,0,0,0,0,0.316957211,0.316957211,0,0,0.792393027,0.792393027,0.950871632,0,1.901743265,3.328050713,0,0,0,0,0.950871632,0,0,17.7496038,0,0.950871632,0,0,0,0,0,0,0,0,0,0,0,0,0.950871632,0,3.328050713,6.656101426,0.316957211,0,1.901743265,0,0,0,0,0,0,0.475435816,0,0,0,1.267828843,0,0,3.328050713,0,0,14.7385103,0,0,0.158478605,0,0.316957211,0.316957211
18.4,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,3.2,0.8,0,3.2,4,0,0,0,0,15.2,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
16.08040201,0,0,4.020100503,0,0,0,0,0,0,5.025125628,0,0,0,0,1.507537688,0,0,0,0,0,0,0,0,0,0,0,8.040201005,1.005025126,0,0,2.512562814,0,0,0,0,0,1.005025126,0,19.59798995,0,0,0,1.005025126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005025126,1.005025126,0,5.025125628,13.06532663,2.010050251,0,1.005025126,0,0,2.010050251,0,1.005025126,0,0,0,0
0,0,0,11.34020619,0,0,0,0,0,0,0,2.06185567,1.030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,1.030927835,0,3.092783505,0,0,0,0,0,1.030927835,0,0,21.64948454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.65979381,0,0,0,0,0,3.092783505,0,0,3.092783505,0,0,0
0.740740741,0,0,0,0,0,0,0,0,0,0,1.481481481,0,2.962962963,0,0,0,0,0,0,0,0,0,0,0,0,4.444444444,11.11111111,7.407407407,0,15.55555556,12.59259259,0,0,0,0,2.962962963,0,0,5.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.962962963,0,0,0,0,0,0,0,0,0,0,7.407407407,0,0,0,0,0,0,0,0,0,1.481481481,0,0,1.481481481,0,0,0
0,0,4.316546763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.597122302,15.10791367,1.438848921,0,5.035971223,2.877697842,0,0,0,0,3.597122302,0,0,12.94964029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.877697842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438848921,0,0,15.10791367,0,0,6.474820144,0,0,0
28.90625,0,0,1.5625,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,17.96875,9.375,0,0,8.59375,0,0,0,0,3.125,0,0,7.8125,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.411764706,0,16.17647059,0.735294118,8.455882353,0,0,0,0,0,0,0,0,0.735294118,0,0,0,0,0,0,0,0,0,0,0,0.367647059,0.735294118,2.941176471,1.102941176,0,1.102941176,3.308823529,0,0,0,1.102941176,1.838235294,0,0,8.455882353,0,0,0,0,0,0,0.735294118,0,0,3.308823529,0,0,2.573529412,0,0,0,4.044117647,0,0,0,0,0,0,0,0,0,0.735294118,0,0,0,0,0.735294118,0,1.470588235,20.95588235,0,0,0,0,0,2.573529412,0,0,0
