X,Y
-1995705,9160415
-1995227,9162661
-1995951,9165311
-1997829,9167638
-1997411,9168863
-1996578,9168906
-1994332,9135326
-1993983,9136122
-1992990,9135733
-1993150,9135006
-1993873,9133488
-1995407,9135936
-1990105,9145953
-1967749,9139490
-1967507,9140572
-1966998,9141503
-1965926,9141482
-1974359,9145352
-1975269,9146098
-1979937,9109811
-2036455,9190124
-2038174,9189947
-2037100,9230621
-2035968,9232151
-2036384,9232466
-2036198,9232741
-2090234,9258599
-2090303,9258830
-2090654,9259572
-2090347,9259463
-2008074,9186197
-2011073,9187296
-2010717,9186438
-2010159,9186786
-2090296,9258320
-2091273,9257933
-1998179,9165977
