Ablabesmyia.type,Arctopelopia...Thienemannimyia,Corynocera.oliveri.type,Chironomus.anthracinus.type,Chironomus.plumosus.type,Corynoneura.arctica,Cricotopus.type.P,Cricotopus.undifferentiated,Dicrotendipes,Eukiefferiella.claripennis.type,Heterotrissocladius.grimshawii,Heterotrissocladius.maeaeri.type.1,Heterotrissocladius.marcidus,Heterotrissocladius.subpilosus,Hydrobaenus.confirmis,Limnophyes...Paralimnophyes,Mesocricotopus,Metriocnemus,Micropsectra.contracta,Micropsectra.insignilobus.type,Orthocladius.consobrinus,Paracladius,Paracladopelma,Paratanytarsus.undiff,Procladius,Psectrocladius.barmimanus,Psectrocladius.sordidellus,Smittia...Parasmittia,Tanytarsus.lugens.type,Tanytarsus.gracilentus.type,Tanytarsus.mendax.type,Pentaneurini.undifferentiated
4.945054945,0.549450549,2.197802198,58.79120879,1.098901099,0.549450549,0,0,2.197802198,0,0,0,0,0,0,0,0,0,0.549450549,0,0,0,0,0,2.747252747,3.846153846,6.043956044,0,2.197802198,3.846153846,0,0
9.278350515,2.06185567,2.06185567,6.18556701,0,1.030927835,0,0,5.154639175,0,0,0,1.030927835,0,0,0,0,0,25.77319588,19.58762887,0,0,0,0,17.5257732,0,8.24742268,0,1.030927835,0,0,0
0,0,0,0.561797753,0,0.561797753,0,0,0,0,0,0,0,0,0,0,0,0,56.17977528,10.11235955,0,0,0,0,13.48314607,8.988764045,3.93258427,0,0,3.93258427,0,1.123595506
0,0,0,1.282051282,0,0,0,0,2.564102564,0,0,0,0,0,0,0,0,0,37.17948718,43.58974359,0,0,0,0,11.53846154,1.282051282,1.282051282,0,0,0,0,0
7.407407407,0,0,3.703703704,0,3.703703704,0,0,1.234567901,0,0,0,0,0,0,0,0,0,13.58024691,1.234567901,0,0,0,0,2.469135802,22.22222222,25.92592593,0,0,11.11111111,0,0
13.2231405,0,25.61983471,9.090909091,0,0.826446281,0,0,2.479338843,0,0,0,0,0,0,0,0,0,4.958677686,1.652892562,0,0,0,0,19.00826446,0.826446281,13.2231405,0,7.438016529,0,0,0
18.63117871,0,0,21.6730038,0,2.281368821,1.520912548,1.520912548,14.06844106,0,0,0,0,0,0,0,0,0,0,0,0,0.380228137,0,0,17.4904943,3.041825095,14.4486692,0,1.901140684,0,3.041825095,0
0,6.617647059,0,1.470588235,0,0.735294118,0,6.617647059,5.147058824,0,0,0,0,0,0,0,0,0,46.32352941,16.17647059,0,0,0,0,8.823529412,0,5.882352941,0,1.470588235,0,0.735294118,0
10.66666667,1.333333333,0,30.66666667,0,1.333333333,0,2,6.666666667,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,15.33333333,0,17.33333333,0,0,0,0,0
0,2.380952381,3.571428571,2.380952381,0,1.19047619,0,1.19047619,0,0,0,0,2.380952381,0,0,0,0,0,35.71428571,26.19047619,0,0,0,0,10.71428571,0,9.523809524,0,0,3.571428571,0,0
0.729927007,7.299270073,2.189781022,1.459854015,0,4.379562044,2.919708029,2.189781022,1.459854015,0,0,0,0,0,0,0,0,0,37.95620438,22.62773723,5.109489051,0,0.729927007,0,0,0,8.759124088,0,0,0,0,0
0,2.083333333,2.083333333,0,0,0,0,0,0,0,2.083333333,0,0,27.08333333,0,0,0,0,16.66666667,37.5,0,0,0,0,0,2.083333333,8.333333333,0,0,2.083333333,0,0
12.6984127,0,0,1.587301587,0,2.116402116,0,0,4.761904762,0,0,0,0,0,0,0,0,0.529100529,0.529100529,0,0,0,0,0,5.291005291,3.174603175,32.8042328,0,0,31.21693122,0,0
3.603603604,0,4.504504505,22.52252252,0,1.801801802,0,0,9.90990991,0,0,0,0,0,0,0,0,0,7.207207207,10.81081081,0,0,0,0.900900901,12.61261261,2.702702703,17.11711712,0,2.702702703,0,0.900900901,0
8.648648649,1.621621622,2.702702703,21.62162162,0,3.783783784,1.081081081,0,10.81081081,0,0,0,0,0,0,0,0,0,9.189189189,9.189189189,0.540540541,0,0,0,8.648648649,3.783783784,15.13513514,0,0.540540541,0,0,0
0,5.095541401,7.006369427,7.006369427,0,1.910828025,0,0,3.821656051,0,0,0,0.636942675,1.27388535,0,0,0,0,36.30573248,15.2866242,0,0,0,0,7.006369427,1.27388535,10.82802548,0,1.910828025,0,0,0
0,5.607476636,8.411214953,2.803738318,0,3.738317757,0,0,3.738317757,0,0,0,0.934579439,4.672897196,0,0,0,0,29.90654206,11.21495327,0,0,0.934579439,0,12.14953271,0.934579439,6.542056075,0,4.672897196,0,0,0
0,0.651465798,0,0.651465798,0,0.651465798,0,0,0.651465798,0,0,0,0,9.771986971,0,0,0,0,35.17915309,36.15635179,0,0,0,0,6.840390879,0,5.537459283,0,0,0,0,0
3,0,0,10,0,14,4,0,2,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,11,0,11,1,1,0,0,0
0,3.546099291,14.89361702,4.255319149,0,4.964539007,0,0,0,0,1.418439716,0,3.546099291,1.418439716,0,0,0,0,32.62411348,12.76595745,0,0,0,0,13.4751773,0,3.546099291,0,0,0,0,0
0,3.910614525,3.910614525,25.1396648,0,0.558659218,0,0,17.31843575,0,1.117318436,0,2.234636872,0,0,0,0,0,13.40782123,21.7877095,0,0,3.351955307,0,0,0,5.586592179,0,0.558659218,0,0.558659218,0
1.818181818,0.909090909,0,13.63636364,0.909090909,0.909090909,0,0,28.18181818,0,0.909090909,0,1.818181818,0.909090909,0,0.909090909,0,0,2.727272727,5.454545455,0,0,0,0,0.909090909,0,40,0,0,0,0,0
0,0,2.158273381,4.316546763,0.71942446,2.158273381,0,2.877697842,1.438848921,0.71942446,0,0,2.877697842,6.474820144,0,1.438848921,0,0,34.5323741,16.54676259,0,0,0,0,0.71942446,0,21.58273381,0,1.438848921,0,0,0
19.13043478,4.347826087,0,23.04347826,0,4.782608696,3.47826087,2.173913043,0,0,0.434782609,0,0,0,0,0,0,0,0,1.739130435,0,0,0,0,3.913043478,6.956521739,25.2173913,0,2.173913043,0,0,0.869565217
0,0,0,0,1.666666667,1.666666667,0,1.666666667,0,0,0,0,0,0,0,0,0,0,16.66666667,18.33333333,0,0,0,0,0,0,51.66666667,0,3.333333333,0,0,0
0,2.631578947,5.263157895,1.973684211,0.657894737,0,0,0,0,0,0,0,3.947368421,2.631578947,0,0,1.315789474,0,32.89473684,32.89473684,0,0,1.315789474,0,0.657894737,0,13.15789474,0,0.657894737,0,0,0
0,2.325581395,5.813953488,3.488372093,0,5.813953488,0,0,0,0,1.162790698,1.162790698,8.139534884,5.813953488,0,0,0,0,20.93023256,12.79069767,0,0,1.162790698,0,2.325581395,0,18.60465116,0,2.325581395,0,0,0
0,1.442307692,23.55769231,9.615384615,0,2.403846154,0,0,0,0,0,0,5.769230769,3.365384615,0,0,0,0,11.53846154,14.42307692,0,0,0.480769231,0,2.884615385,0,11.53846154,0,8.173076923,0,0,0
1.234567901,0,8.641975309,17.28395062,0,3.703703704,3.703703704,2.469135802,0,0,0,0,1.234567901,0,0,0,0,0,9.87654321,12.34567901,2.469135802,0,0,0,4.938271605,0,28.39506173,0,0,0,0,2.469135802
0,8.510638298,2.127659574,0,0,0,2.127659574,0,0,0,0,0,21.27659574,17.0212766,0,0,0,0,14.89361702,21.27659574,0,0,2.127659574,0,0,0,6.382978723,0,0,0,0,0
16.38418079,7.344632768,0,12.42937853,0,0.564971751,0,0.564971751,20.9039548,0,0,0,0.564971751,0,0,0,0,0,0,0,0,0,0,0,10.73446328,6.214689266,23.72881356,0,0,0,0,0
0.492610837,13.79310345,0,0.985221675,0,0,0.492610837,0,0,0,1.97044335,0,15.27093596,0,0,0,0,0,45.32019704,13.79310345,0,0,0.492610837,0,5.418719212,0,1.97044335,0,0,0,0,0
0,9.523809524,0,0,0,0,0,0,0,0,0,0,9.523809524,7.142857143,0,0,0,0,0,61.9047619,0,0,0,0,11.9047619,0,0,0,0,0,0,0
0.961538462,3.365384615,0,1.442307692,0,1.923076923,0,0,0.480769231,0,0,0,1.442307692,0,0,0,0,0,48.55769231,29.80769231,0.480769231,0,0,0,2.884615385,0,8.173076923,0,0,0,0,0.480769231
0,0.99009901,3.96039604,0,0,0,1.98019802,0.99009901,0,0,0,0,4.95049505,41.58415842,5.940594059,0,0,0,1.98019802,22.77227723,0,0,3.96039604,0,0.99009901,0,8.910891089,0,0,0,0,0
0,2.877697842,8.633093525,0,0,0.71942446,1.438848921,1.438848921,0,0,0,0,5.755395683,15.82733813,1.438848921,0.71942446,0,0,9.352517986,28.77697842,0,0,0.71942446,0,0.71942446,0,15.10791367,0,0,0,0,0
25,4.545454545,0,20.45454545,0,2.272727273,0,0,0,0,0,0,0,0,0,0,0,0,2.272727273,2.272727273,0,0,0,0,13.63636364,0,29.54545455,0,0,0,0,0
