Ablabesmyia.type,Arctopelopia...Thienemannimyia,Chaetocladius,Chironomus.anthracinus.type,Chironomus.plumosus.type,Chironomus.undifferentiated,Corynoneura.arctica,Corynoneura.lobata.type,Cricotopus.sylvestris,Cricotopus.laricomalis,Cricotopus.cylindraceus.type,Cricotopus.intersectus,Cricotopus.tremulus.group,Cricotopus.undifferentiated,Diamesa.arctica,Diamesa.z,Diamesa.bertrami,Diamesa.undifferentiated,Dicrotendipes,Eukiefferiella.claripennis.type,Eukiefferiella.fittkaui,Eukiefferiella.undiff.,Heterotrissocladius.grimshawii,Limnophyes...Paralimnophyes,Metriocnemus,Micropsectra.contracta,Micropsectra.insignilobus.type,Micropsectra.radialis.type,Micropsectra.undifferentiated,Oliveridia,Orthocladius.consobrinus,Orthocladius.oliveri,Orthocladius.type.i,Parochlus,Paramerina.type,Paracladopelma,Parakiefferiella.sp.B,Paraphenocladius,Paratanytarsus.undiff,Procladius,Psectrocladius.barmimanus,Psectrocladius.sordidellus,Pseudodiamesa,Pseudosmittia,Rheocricotopus,Smittia...Parasmittia,Tanytarsus.gracilentus.type,Tanytarsus.lugens,Thienemanniella
0,0,0,12.90322581,0,0,1.612903226,0,0,0,0,0,8.064516129,0,0,0,0,0,0,0,0,0,8.064516129,0.806451613,0,0,0,0,0,0,0,1.612903226,4.838709677,0,0,0,0,3.225806452,0,0,0,50,0,0,0,0.806451613,1.612903226,6.451612903,0
0,0,0,0,0,0,1.639344262,0,0.819672131,0,0,0,2.459016393,0.819672131,0,0,0,0,0,0,0,0,39.3442623,0.819672131,1.639344262,0,3.278688525,1.639344262,0,0,0,0,0.819672131,0,0,0,0,0,0,3.278688525,0,30.32786885,0,0,0,0,0,11.47540984,0
0,0,0,2.259887006,0,1.129943503,1.129943503,0,0,0,0,0,1.129943503,1.129943503,0,0,0,0,0,0,0,0,37.28813559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129943503,0,52.54237288,0,0,0,0,0,2.259887006,0
0,0,0,13.33333333,0,0,0,0,1.904761905,1.904761905,2.857142857,0,14.28571429,19.04761905,0,1.904761905,0,0,0,0,0,0,0.952380952,1.904761905,0,0,0,0,0,0,2.857142857,0,1.904761905,0,0,0,0,0,0,1.904761905,3.80952381,18.0952381,0,0,0,0,0,13.33333333,0
0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,10,0,3,0,2,8,1,14,7,2,0,6,0,0,0,4,2,3,0,0,0,0,0,0,0,0,5,0,0,1,1,0,4,20
0,0,0,11.96581197,3.418803419,4.273504274,0,0,0,0,0,0,12.82051282,1.709401709,0,0,0.854700855,0,0,1.709401709,0,0,12.82051282,0.854700855,0,0,3.418803419,0,0,0,0,5.982905983,2.136752137,0,0,0,0,0,0,0,5.128205128,19.23076923,0,0,0,0,0,8.547008547,2.136752137
0,0,0,2.803738318,0,0,1.869158879,0,0,0,2.803738318,0,0.934579439,3.738317757,0,3.738317757,0,0,0,3.738317757,3.738317757,0,13.08411215,1.869158879,0,0,11.21495327,1.869158879,0,0,3.738317757,0,3.738317757,1.869158879,0,1.869158879,0,0,0,0,1.869158879,25.23364486,0,1.869158879,0.934579439,0,0,7.476635514,0
0,0,0,17.21311475,0,2.049180328,2.049180328,0,3.073770492,0,0.819672131,0,0.409836066,0,0,0,0,0,1.229508197,0,0,0,23.97540984,1.639344262,0,0.409836066,1.229508197,0.819672131,0,0,1.844262295,0,0,0,0,0.409836066,0,0,0,0,2.868852459,26.8442623,0,0.614754098,0,0,0,9.426229508,0.409836066
3.448275862,0,0.862068966,15.51724138,0,0,1.724137931,0,3.448275862,0,0.862068966,0,1.724137931,0,0,0,0,0,6.896551724,0,0,0,1.724137931,4.310344828,0,0,5.172413793,0,0,0,0,0,0,0,0,0,0,4.310344828,0,1.724137931,2.586206897,33.62068966,0,0,0,0,0,3.448275862,0
0,0,0,2.564102564,0,0,0,0,0,0,0,0,6.837606838,0,0,1.709401709,0,0,0,0,1.709401709,2.564102564,12.82051282,0,0,0,22.22222222,0,0,0,5.982905983,0,0,0,0,0,0,0,0,0,0,13.67521368,0.854700855,0,0,0,0,29.05982906,0
