Ablabesmyia.type,Arctopelopia.Thienemannimyia,Corynocera.oliveri.type,Chaetocladius,Chironominae.early.instar,Chironomus.anthracinus.type,Chironomus.plumosus.type,Corynoneura.arctica,Corynoneura.Thienemanniella.undif.,Cricotopus.bicinctus,Cricotopus.intersectus,Cricotopus.type.C,Cricotopus.type.P,Cricotopus.undifferentiated,Derotanypus,Dicrotendipes,Eukiefferiella.claripennis.type,Eukiefferiella.devonica,Eukiefferiella.fittkaui,Heterotrissocladius.grimshawii,Heterotrissocladius.marcidus,Heterotrissocladius.subpilosus,Heterotrissocladius.undiff,Limnophyes...Paralimnophyes,Micropsectra.contracta,Micropsectra.insignilobus.type,Orthocladius.oliveri,Orthocladius.type.i,Orthocladius.type.S,Paracladopelma,Paracricotopus,Paratanytarsus.penicillatus.type,Paratanytarsus.undiff,Procladius,Psectrocladius.septentrionalis.type,Psectrocladius.sordidellus,Psectrocladius.undiff.,Pseudorthocladius,Smittia...Parasmittia,Tanytarsus.lugens,Tanytarsus.mendax.type,Thienemanniella,Trissocladius,Tvetenia.bavarica.type
0,1.19047619,0,0,0,0,0,0,1.19047619,0,0,0,0,0,0,1.19047619,0,0,0,7.738095238,19.64285714,26.78571429,4.761904762,1.19047619,0,22.02380952,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,1.19047619,0,0,0,1.19047619
0,0,0,0,0,0,1.020408163,3.571428571,1.530612245,0,0,0,0.510204082,0,0,2.040816327,0,0,0,3.06122449,9.693877551,15.30612245,0,0,0,33.67346939,0,0,0,3.06122449,0,0,0,2.040816327,0,6.12244898,0,0,0,0,0,0,0,0
0,0.621118012,1.242236025,0,3.105590062,8.385093168,0,0,1.863354037,0,0,0,1.242236025,0.310559006,0,1.242236025,0,0,0,0.310559006,18.94409938,0,0.310559006,2.48447205,0,32.91925466,0,0,0,2.48447205,0,0,0.621118012,0,1.242236025,10.2484472,0,0,0,3.726708075,2.48447205,0,0,0
0,11.17318436,0,0,1.117318436,4.469273743,0,2.234636872,2.234636872,0,0,0,1.675977654,0,0,3.351955307,0,0,0,0,15.6424581,0.558659218,0.558659218,0,0,18.99441341,0,0,0,1.117318436,0,0,0,1.117318436,0,25.1396648,0,0,0,2.234636872,1.117318436,0,0,0
0,0,0,0,0,5.847953216,2.339181287,0,1.169590643,0,0,0,1.169590643,0,0,0,0,0,0,0,7.602339181,0,0,0,0,26.9005848,0,0,0,1.169590643,0,0,0,1.169590643,0,22.22222222,0,1.169590643,0,0,0,0,0,0
0,9.401709402,0.854700855,0,1.709401709,5.982905983,0.854700855,0,0,1.282051282,0,0,1.282051282,0.427350427,0.854700855,0,0,0,0,0.427350427,22.22222222,1.282051282,0,0,0,33.33333333,0,0,0,0.854700855,0,0,0.854700855,1.709401709,0,5.982905983,0.427350427,0,0,1.709401709,2.564102564,0,0,0
0,14.21319797,0,0,4.060913706,1.015228426,0,1.015228426,0,0,0,0,4.060913706,0,0,2.030456853,0,0,0,0,24.36548223,0,0.507614213,0,0,25.38071066,0,0,0,1.015228426,0,0,0,8.121827411,0,9.137055838,0,0,0,0,1.015228426,0,0,0
3.225806452,0.403225806,0.806451613,2.016129032,9.274193548,5.64516129,0,6.451612903,1.612903226,0,0,0,2.822580645,1.209677419,0,0.806451613,0.201612903,0.403225806,0.403225806,0,0.60483871,0,0,1.612903226,0,6.653225806,0.403225806,0.403225806,0,0,0.403225806,0,0,20.56451613,3.225806452,21.77419355,0,0,0.403225806,1.612903226,2.217741935,0.403225806,0,0.403225806
0,2.843601896,0,0,0,0.947867299,0,0,0,0,0,0,1.895734597,0,0,1.895734597,0,0,0,0,25.11848341,0,0,0,0,31.7535545,0,0,0,3.791469194,0,0,0,16.11374408,0,2.843601896,0,0,0,0.947867299,1.895734597,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.042016807,8.403361345,10.92436975,3.361344538,0,0,39.49579832,0,0,0,3.361344538,0,0,0,25.21008403,0,0.840336134,0,0,0,0,0,0,0,0
0,10.08403361,0,0,0,0,0,0,0,0,0,0,2.521008403,0,0,5.042016807,0,0,0,0,7.56302521,27.73109244,0.840336134,0,0,20.16806723,0,0,0,3.361344538,0,0,0,6.722689076,0,9.243697479,0,0,0,0,0,0,0,0
0.938967136,6.572769953,0,0,0,0,0,0,0.938967136,0,0,0,0,0,0,0,0,0,0,2.34741784,26.76056338,4.694835681,1.408450704,0,0,25.35211268,0,0,0.938967136,5.633802817,0,0,0,16.90140845,0,4.225352113,0,0,0,0,0,0,0,0
0.505050505,9.090909091,0.505050505,0,3.03030303,6.818181818,0,0.505050505,0,0,0.505050505,0,1.767676768,0,0,1.01010101,0,0,0,0,16.41414141,0,0.252525253,0,0,32.07070707,0,0,0,0.505050505,0,0,0.505050505,1.01010101,0.505050505,10.85858586,0,0,0,4.545454545,1.01010101,0,0,0
0.357142857,1.785714286,0.357142857,0,1.785714286,2.5,0,3.214285714,0.714285714,0,0,0,2.5,0,0,2.142857143,0,0,0,0,8.571428571,0,0,0,0,33.21428571,0,0,0,0,0,0,0.357142857,11.42857143,0.714285714,3.571428571,0,0,0,11.07142857,0.357142857,0,0.357142857,0
0,11.27819549,0,0,6.015037594,3.007518797,0,2.255639098,0,0.751879699,0,0,0.37593985,0,0,3.759398496,0,0,0,0,16.91729323,0,0,0,0,21.42857143,0,0,0,0.751879699,0,0,0,9.022556391,0,11.27819549,0,0,0,0,0.751879699,0,0,0
0,0,0,0,7.272727273,12.12121212,0,3.636363636,0,2.424242424,0,0,1.212121212,0,0,14.54545455,0,0,0,0,13.93939394,0,0,0,0,8.484848485,0,0,0,0,0,0,0,3.636363636,1.212121212,23.63636364,0,0,0,0,3.636363636,0,0,0
0,4.724409449,0,0,1.57480315,0,0,0,0,0,0,0,0,3.937007874,0,0.787401575,0,0,0,0,12.5984252,0,0.393700787,0,0,42.12598425,0,0,0,0,0,0,0,15.7480315,0,3.149606299,0,0,0,5.511811024,0,0,0,0
2.209944751,0,1.104972376,0,25.41436464,9.944751381,0,2.209944751,3.314917127,0,0,0,3.867403315,0,0,6.077348066,0,0,0,0,3.867403315,0,0.552486188,0,0,9.392265193,0,0,0,0,0,0,0,4.419889503,2.209944751,12.15469613,0,0,0,2.209944751,6.629834254,0,0,0
1.484230056,0,0,0,1.85528757,1.113172542,0,8.53432282,7.792207792,0,0,0,6.12244898,1.484230056,0,0.371057514,0,0,0,1.85528757,16.88311688,0,0,0.371057514,0.742115028,16.32653061,0,0,0,0,0,0.371057514,0.371057514,11.50278293,1.85528757,16.32653061,0,0,0,1.113172542,1.113172542,0,0,0
0,0,0,0,1.257861635,3.773584906,0,0,1.257861635,0,0,1.257861635,0.628930818,0,0,0,0,0,0,2.51572327,2.51572327,2.51572327,0.628930818,0,0,49.68553459,0,0,0,0,0,0,0,12.57861635,0,3.773584906,0,0,0,1.257861635,1.257861635,0,0,0
1.171875,0.78125,0.390625,0,23.828125,11.328125,0.390625,3.90625,4.6875,0,0,0,0.390625,0.390625,0,0.78125,0,0,0,0,5.078125,0,0,0,0,11.328125,0,0,0,0,0,0,0,10.15625,4.296875,13.671875,0.9765625,0,0.390625,3.125,0.390625,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.096774194,3.870967742,1.290322581,0,0,51.61290323,0,0,0,0,0,0,0,21.93548387,1.290322581,0,0,0,0,0,0,0,0,0
1.587301587,1.587301587,0.529100529,0,5.291005291,3.174603175,0,4.232804233,1.058201058,0,0,0,0.529100529,0,0,0.529100529,0,0,0,0,11.11111111,0,0,1.058201058,0,14.55026455,0,0,0,0,0,0,0.529100529,14.81481481,4.761904762,11.11111111,0,0,0,18.25396825,0,0,0,0
1.503759398,7.518796992,0,0,5.263157895,6.015037594,0,3.007518797,6.766917293,0,0,0,7.142857143,1.127819549,0,3.007518797,0,0,0,0,6.766917293,0,0,0,0,15.03759398,0,0,0,0,0,0,0,13.53383459,1.503759398,17.29323308,0,0,0,0,0,0,0,0
0,21.79487179,0,0,0,0,0,1.282051282,0,0,0,0,0,0,0,0,0,0,0,0,3.205128205,0,0,0,0,37.82051282,0,0,0,0,0,0,0,12.82051282,0,6.41025641,0,0,0,0,1.282051282,0,0,0
